repo_id,created_at_first,created_at_last,repo_name,repo_language,repo_description
8514,2020-01-01 09:29:36,2023-03-31 23:44:55,rails/rails,Ruby,Ruby on Rails
156018,2020-07-07 17:23:42,2023-03-31 23:28:47,redis/redis,C,"Redis is an in-memory database that persists on disk. The data model is key-value, but many different kind of values are supported: Strings, Lists, Sets, Sorted Sets, Hashes, Streams, HyperLogLogs, Bitmaps."
302322,2020-01-01 08:16:09,2023-03-31 23:46:29,gradle/gradle,Groovy,"Adaptable, fast automation for all"
458058,2020-01-01 14:08:35,2023-03-31 23:55:27,symfony/symfony,PHP,The Symfony PHP framework
507775,2020-01-01 09:49:44,2023-03-31 23:37:55,elastic/elasticsearch,Java,"Free and Open, Distributed, RESTful Search Engine"
576201,2020-01-01 10:15:09,2023-03-31 23:13:36,mrdoob/three.js,JavaScript,JavaScript 3D Library.
724712,2020-01-01 08:00:09,2023-03-31 23:53:33,rust-lang/rust,Rust,Empowering everyone to build reliable and efficient software.
843222,2020-01-01 08:10:20,2023-03-31 23:57:35,scikit-learn/scikit-learn,Python,scikit-learn: machine learning in Python
858127,2020-01-01 08:19:58,2023-03-31 23:56:41,pandas-dev/pandas,Python,"Flexible and powerful data analysis / manipulation library for Python, providing labeled data structures similar to R data.frame objects, statistical functions, and much more"
873328,2020-01-01 08:06:48,2023-03-31 23:58:22,getsentry/sentry,Python,"Sentry is cross-platform application monitoring, with a focus on error reporting."
1147463,2020-01-01 08:54:07,2023-03-31 23:56:05,rstudio/rstudio,Java,RStudio is an integrated development environment (IDE) for R
1181927,2020-01-01 10:15:50,2023-03-31 23:54:58,bitcoin/bitcoin,C++,Bitcoin Core integration/staging tree
1217614,2020-01-01 08:00:07,2023-03-31 23:54:06,xbmc/xbmc,C++,"Kodi is an award-winning free and open source home theater/media center software and entertainment hub for digital media. With its beautiful interface and powerful skinning engine, it's available for Android, BSD, Linux, macOS, iOS and Windows."
1385122,2020-01-01 10:17:01,2023-03-31 23:27:39,matplotlib/matplotlib,Python,matplotlib: plotting with Python
1460385,2020-01-01 14:58:37,2023-03-31 22:54:52,scipy/scipy,Python,SciPy library main repository
1644196,2020-01-01 08:48:28,2023-03-31 23:57:31,JuliaLang/julia,Julia,The Julia Programming Language
1690480,2020-01-01 08:14:13,2023-03-31 23:59:54,qgis/QGIS,C++,"QGIS is a free, open source, cross platform (lin/win/mac) geographical information system (GIS)"
1903522,2020-01-01 16:42:32,2023-03-31 23:34:33,php/php-src,C,The PHP Interpreter
1924147,2020-01-01 10:05:11,2023-03-31 22:41:43,postmanlabs/postman-app-support,,"Postman helps you be more efficient while working with APIs. Using Postman, you can construct complex HTTP requests quickly, organize them in collections and share them with your co-workers."
2179920,2020-01-01 21:35:57,2023-03-31 23:59:28,woocommerce/woocommerce,PHP,An open source eCommerce plugin for WordPress.
2200856,2020-01-01 08:31:01,2023-03-31 23:49:09,MarlinFirmware/Marlin,C++,Marlin is an optimized firmware for RepRap 3D printers based on the Arduino platform. | Many commercial 3D printers come with Marlin installed. Check with your vendor if you need source code for your specific machine.
2293158,2020-01-01 13:27:54,2023-03-31 23:26:12,rapid7/metasploit-framework,Ruby,Metasploit Framework
2310495,2020-01-01 09:09:06,2023-03-31 23:52:57,ceph/ceph,C++,"Ceph is a distributed object, block, and file storage platform"
2464908,2020-01-01 09:55:57,2023-03-31 23:57:42,joomla/joomla-cms,PHP,Home of the Joomla! Content Management System
2884111,2020-01-01 08:14:08,2023-03-31 23:59:47,magento/magento2,PHP,"Prior to making any Submission(s), you must sign an Adobe Contributor License Agreement, available here at: https://opensource.adobe.com/cla.html. All Submissions you make to Adobe Inc. and its affiliates, assigns and subsidiaries (collectively “Adobe”) are subject to the terms of the Adobe Contributor License Agreement."
2928944,2020-01-01 08:17:10,2023-03-31 23:38:21,Azure/azure-sdk-for-net,C#,This repository is for active development of the Azure SDK for .NET. For consumers of the SDK we recommend visiting our public developer docs at https://docs.microsoft.com/en-us/dotnet/azure/ or our versioned developer docs at https://azure.github.io/azure-sdk-for-net.
2928948,2020-01-01 08:14:49,2023-03-31 23:11:14,Azure/azure-sdk-for-java,Java,This repository is for active development of the Azure SDK for Java. For consumers of the SDK we recommend visiting our public developer docs at https://docs.microsoft.com/en-us/java/azure/ or our versioned developer docs at https://azure.github.io/azure-sdk-for-java.
3234987,2020-01-01 08:15:54,2023-03-31 23:59:48,tgstation/tgstation,DM,The /tg/station branch of SS13
3351871,2020-01-01 09:42:38,2023-03-31 23:21:07,qbittorrent/qBittorrent,C++,qBittorrent BitTorrent client
3623050,2020-01-01 08:01:55,2023-03-31 23:53:12,Homebrew/homebrew-cask,Ruby,🍻 A CLI workflow for the administration of macOS applications distributed as binaries
